iter	Passed	Remaining
450	1081	1316
451	1083	1313
452	1085	1310
453	1087	1308
454	1090	1305
455	1092	1303
456	1094	1300
457	1095	1296
458	1097	1293
459	1100	1291
460	1103	1290
461	1105	1286
462	1106	1283
463	1108	1280
464	1109	1276
465	1111	1273
466	1113	1271
467	1115	1268
468	1117	1265
469	1119	1261
470	1120	1258
471	1122	1255
472	1124	1252
473	1126	1250
474	1128	1247
475	1134	1248
476	1136	1246
477	1139	1244
478	1144	1245
479	1146	1242
480	1148	1238
481	1149	1235
482	1151	1232
483	1153	1230
484	1157	1228
485	1160	1226
486	1161	1224
487	1163	1221
488	1166	1218
489	1168	1215
490	1170	1213
491	1173	1211
492	1175	1208
493	1177	1205
494	1178	1202
495	1181	1200
496	1182	1197
497	1186	1196
498	1188	1193
499	1190	1190
500	1191	1186
501	1193	1183
502	1194	1180
503	1196	1177
504	1198	1174
505	1201	1172
506	1202	1169
507	1204	1166
508	1206	1163
509	1207	1160
510	1209	1157
511	1210	1154
512	1212	1151
513	1214	1148
514	1216	1145
515	1218	1142
516	1220	1139
517	1221	1136
518	1223	1133
519	1225	1131
520	1227	1128
521	1229	1126
522	1231	1123
523	1233	1120
524	1235	1117
525	1237	1115
526	1239	1112
527	1240	1109
528	1242	1106
529	1245	1104
530	1248	1102
531	1251	1100
532	1252	1097
533	1254	1094
534	1256	1091
535	1258	1089
536	1260	1086
537	1262	1084
538	1264	1081
539	1265	1077
540	1266	1074
541	1268	1071
542	1269	1068
543	1272	1066
544	1274	1063
545	1275	1060
546	1277	1057
547	1278	1054
548	1279	1051
549	1281	1048
550	1282	1045
551	1285	1043
552	1287	1040
553	1289	1037
554	1290	1034
555	1292	1031
556	1293	1028
557	1294	1025
558	1296	1022
559	1297	1019
560	1299	1016
561	1301	1014
562	1302	1011
563	1304	1008
564	1306	1005
565	1307	1002
566	1308	999
567	1310	996
568	1312	993
569	1314	991
570	1316	988
571	1317	986
572	1319	983
573	1320	980
574	1321	977
575	1323	973
576	1324	971
577	1325	968
578	1327	965
579	1329	962
580	1331	960
581	1334	958
582	1336	955
583	1338	953
584	1343	953
585	1347	951
586	1348	948
587	1350	946
588	1352	943
589	1353	940
590	1355	938
591	1357	935
592	1359	932
593	1362	931
594	1365	929
595	1366	926
596	1368	923
597	1370	921
598	1372	918
599	1374	916
600	1376	913
601	1378	911
602	1380	908
603	1382	906
604	1383	903
605	1385	900
606	1387	898
607	1389	895
608	1392	893
609	1393	890
610	1395	888
611	1397	885
612	1398	883
613	1400	880
614	1402	878
615	1405	875
616	1407	873
617	1408	870
618	1410	868
619	1412	865
620	1416	864
621	1418	861
622	1419	859
623	1421	856
624	1423	854
625	1425	851
626	1427	849
627	1429	847
628	1433	845
629	1435	842
630	1436	840
631	1438	837
632	1439	834
633	1441	832
634	1443	829
635	1445	827
636	1447	825
637	1449	822
638	1451	819
639	1452	817
640	1454	814
641	1456	812
642	1458	809
643	1460	807
644	1462	805
645	1464	802
646	1466	799
647	1467	797
648	1469	794
649	1471	792
650	1477	792
651	1479	789
652	1481	787
653	1484	785
654	1487	783
655	1490	781
656	1492	779
657	1494	776
658	1496	774
659	1498	771
660	1499	769
661	1502	767
662	1503	764
663	1505	761
664	1507	759
665	1509	757
666	1515	756
667	1517	754
668	1518	751
669	1519	748
670	1521	745
671	1523	743
672	1524	740
673	1526	738
674	1528	735
675	1530	733
676	1531	730
677	1533	728
678	1536	726
679	1538	723
680	1539	721
681	1541	718
682	1543	716
683	1544	713
684	1546	710
685	1558	713
686	1560	710
687	1564	709
688	1567	707
689	1569	705
690	1573	703
691	1577	702
692	1579	699
693	1580	697
694	1582	694
695	1584	691
696	1586	689
697	1587	686
698	1590	684
699	1592	682
700	1594	679
701	1596	677
702	1598	675
703	1601	673
704	1603	670
705	1605	668
706	1606	665
707	1608	663
708	1610	661
709	1612	658
710	1614	656
711	1616	653
712	1619	651
713	1620	649
714	1622	646
715	1624	644
716	1626	642
717	1631	640
718	1633	638
719	1635	636
720	1637	633
721	1639	631
722	1641	628
723	1644	626
724	1646	624
725	1649	622
726	1651	620
727	1653	617
728	1656	615
729	1661	614
730	1663	612
731	1664	609
732	1666	606
733	1667	604
734	1669	601
735	1670	599
736	1672	596
737	1674	594
738	1675	591
739	1677	589
740	1678	586
741	1679	584
742	1680	581
743	1682	578
744	1683	576
745	1684	573
746	1685	570
747	1687	568
748	1689	566
749	1690	563
750	1691	560
751	1693	558
752	1694	555
753	1695	553
754	1697	550
755	1698	548
756	1699	545
757	1701	543
758	1702	540
759	1704	538
760	1705	535
761	1706	532
762	1707	530
763	1708	527
764	1709	525
765	1710	522
766	1712	520
767	1713	517
768	1714	515
769	1716	512
770	1718	510
771	1719	507
772	1720	505
773	1721	502
774	1722	500
775	1724	497
776	1725	495
777	1726	492
778	1728	490
779	1730	487
780	1731	485
781	1733	483
782	1734	480
783	1735	478
784	1737	475
785	1739	473
786	1740	471
787	1741	468
788	1743	466
789	1744	463
790	1745	461
791	1746	458
792	1748	456
793	1749	453
794	1751	451
795	1752	449
796	1754	446
797	1756	444
798	1757	442
799	1758	439
800	1760	437
801	1761	434
802	1762	432
803	1764	430
804	1765	427
805	1767	425
